Pos,Nr,Rider,Nat.,Bike,Total,ARG ,SAR ,SUI ,TRE ,POR ,ESP ,FRA ,LAT ,GER ,INA ,INA  ,CZE ,BEL ,FIN ,SWE ,NED ,TUR ,ITA ,GBR 
26,142,"Haavisto, Jere",FIN ,KTM,49,- -,- -,- -,- -,- -,- -,- -,"0,8-0","0,4-7",-,-,-,"0,4-1","0,1-8","0,10-5",-,-,-,"0,0-1"
27,87,"Brumann, Kevin",SUI ,YAM,44,- -,"0,1-0","0,0-7","0,3-0","0,0-0","0,7-4",-,-,"0,0-3",-,-,"0,6-0","0,3-7","0,2-1","0,0-0",-,-,-,-
28,151,"Kullas, Harri",EST ,YAM,37,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,7-13",-,-,-,-,-,"0,9-8"
29,48,"Monticelli, I.",ITA ,GAS,30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-6",-,-,-,-,-,"0,9-4","0,4-7"
30,29,"Jacobi, Henry",GER ,KTM,29,- -,- -,- -,- -,- -,- -,"0,0-9","0,9-0","0,9-2",-,-,-,-,-,-,-,-,-,-
31,38,"Rubini, S.",FRA ,HON,27,- -,- -,"0,7-8",-,-,-,"0,4-8",-,-,-,-,-,-,-,-,-,-,-,-
32,336,"Stewart, L.",AUS ,KTM,25,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-6","0,7-6",-,-,-,-,-,-,-,-
33,167,"Murray, N.",AUS ,HUS,21,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,5-5","0,6-5",-,-,-,-,-,-,-,-
34,811,"Sterry, Adam",GBR ,KTM,21,- -,- -,- -,"0,4-5",-,-,-,-,"0,0-4",-,-,-,-,-,-,"0,0-0",-,-,"0,2-6"
35,204,"Maksum, Hilman",INA ,KTM,17,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-4","0,5-4",-,-,-,-,-,-,-,-
36,86,"Koch, Tim",GER ,HUS,15,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-9",-,-,"0,0-0",-,-,-,-,-,-,-
37,52,"Gerhardsson, A.",SWE ,HUS,15,- -,- -,- -,- -,- -,- -,- -,"0,0-1","0,0-0",-,-,"0,0-0","0,0-2","0,5-0","0,5-1","0,0-1",-,"0,0-0",-
38,17,"Toendel, C.",NOR ,HON,13,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,3-0","0,0-0",-,"0,0-0","0,6-4"
39,988,"Kerhoas, L.",FRA ,HUS,12,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-3","0,4-3",-,-,-,-,-,-,-,-
40,97,"Ivanov, M.",BUL ,HUS,11,- -,- -,- -,"0,0-1","0,1-1","0,1-7","0,0-0",-,"0,0-0",-,-,-,-,-,-,-,-,-,-
41,140,"Leok, Tanel",EST ,HUS,10,- -,- -,- -,- -,- -,- -,- -,"0,2-8",-,-,-,-,-,-,-,-,-,-,-
42,57,"Goupillon, P.",FRA ,KTM,10,- -,- -,- -,"0,7-3",-,-,"0,0-0",-,-,-,-,-,-,-,-,-,-,-,-
43,37,"Krestinov, G.",EST ,HON,10,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-4",-,-,-,-,-
44,115,"Dickinson, A.",GBR ,KTM,9,- -,- -,- -,- -,- -,"0,2-5","0,0-1",-,"0,0-1",-,-,-,-,-,-,-,-,-,-
45,4,"Tonus, Arnaud",SUI ,YAM,8,- -,- -,"0,8-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,637,"Sileika, T.",LAT ,GAS,7,- -,- -,- -,- -,- -,- -,- -,"0,0-7",-,-,-,-,-,-,-,-,-,-,-
47,141,"Purdon, T.",RSA ,KTM,7,- -,- -,- -,- -,- -,"0,4-0","0,0-0",-,"0,0-0",-,-,"0,0-0","0,0-0",-,-,"0,3-0",-,-,"0,0-0"
48,53,"Jost, Simon",SVK ,KTM,6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-4",-,-,-,-,-,-,-
49,747,"Sihvonen, Miro",FIN ,HUS,6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-2",-,-,-,-,-
