Pos,Manufacturer,Total,ARG ,SAR ,SUI ,TRE ,POR ,ESP ,FRA ,LAT ,GER ,INA ,INA  ,CZE ,BEL ,FIN ,SWE ,NED ,TUR ,ITA ,GBR 
1,Yamaha,939,"08,20-20","09,20-25","06,22-25","09,22-22","08,18-18","08,18-18","09,25-22","07,18-18","09,22-22","09,20-22","07,20-20","09,22-25","10,22-20","07,22-20","08,20-25","09,20-22","00,20-22","05,22-18","05,22-18"
2,GASGAS,937,"10,25-15","10,25-15","10,25-20","03,25-20","05,25-15","10,22-20","10,18-20","09,22-20","10,25-25","07,25-20","10,25-22","10,20-22","06,20-25","10,20-25","10,25-15","08,25-18","00,14-12","09,25-15","10,18-07"
3,Kawasaki,870,"06,22-16","06,10-18","09,20-22","10,09-18","06,22-20","00,08-08","04,20-25","06,15-22","06,15-20","10,22-25","08,22-25","08,25-18","09,25-22","09,25-22","06,22-22","10,22-25","00,25-20","08,00-25","09,16-22"
4,Honda,786,"07,16-25","07,14-13","03,16-13","08,20-14","10,14-22","04,16-22","05,16-18","08,20-13","05,20-18","06,16-15","09,16-16","07,15-16","05,14-15","08,15-15","09,18-16","06,16-16","00,22-25","07,16-22","08,25-25"
5,KTM,749,"01,18-22","08,22-22","08,15-18","04,16-25","09,20-25","09,25-25","08,22-11","10,25-25","08,16-14","00,14-13","03,13-13","02,09-12","02,15-14","02,14-18","07,14-18","05,15-14","00,16-14","10,20-16","00,13-12"
6,Beta,324,"00,09-06","00,07-08","00,10-11","00,10-08","00,09-09","00,11-11","00,08-07","00,11-12","00,08-13","02,09-09","00,03-09","00,07-09","00,12-09","00,03-06","00,09-00","00,10-10","00,05-06","00,08-11","01,08-10"
7,Husqvarna,80,-,-,-,"00,00-01","00,01-01","00,01-07","00,05-02","00,02-08","00,06-09","00,05-05","00,06-05","00,00-00","00,00-02","00,05-02","00,05-01","00,00-01",-,"00,00-00","00,00-00"
