truck_name,truck_capacity,price,Inside dimensions,Door opening,Deck dimensions,Loading Ramp,image_url
10' Truck,Studio to 1 Bedroom Apt.,"$1,914.00","9'11"" x 6'4"" x 6'2"" (LxWxH)","5'11"" x 5'7"" (WxH)","height: 2'5"" Length: 9'11""",,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/10Medium.png
15' Truck,1 Bedroom Home to 2 Bedroom Apt.,"$2,015.00","15' x 7'8"" x 7'2"" (LxWxH)","7'3"" x 6'5"" (WxH)","height: 2'9"" Length: 12'5""",EZ-Load Ramp,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/14Medium.png
20' Truck,2 Bedroom Home to 3 Bedroom Apt.,"$2,217.00","19'6"" x 7'8"" x 7'2"" (LxWxH)","7'3"" x 6'5"" (WxH)","height: 2'11"" Length: 16'10""",EZ-Load Ramp,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/20Medium.png
26' Truck,3 Bedroom Home to 4 Bedroom Home,"$2,519.00","26'2"" x 8'2"" x 8'3"" (LxWxH)","7'9"" x 6'10"" (WxH)","height: 2' 11"" Length 23'5""",EZ-Load Ramp,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/26Medium.png
8' Pickup Truck,Home improvement / Small loads,,"7'10"" x 5'2"" x 1'9"" (LxWxH)",,,,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/uhaul-pickup-truck-MD.png
9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries,,"9'6"" x 5'7"" x 4'8"" (LxWxH)","5'1-1/2"" x 4'1-1/2"" (WxH)",,,https://cdnep-uhaul-uhaulcom-global-p-001.azureedge.net/uhaulcom/cdn/ReservationsMvc/Equipment/Trucks/uhaul-cargo-van-MD.png
