NoOfSeats,TruckRate,TruckClearance,TruckInteriorHeight,TruckInteriorLength,TruckInteriorWidth,AdditionalFeatures,Name,ImageUrl,Description,TruckUndiscountedRate,TruckDiscountPercent,SoldOutMessage,TowingCompatible,AllowsLoadingRamp
2 Seats,0.0,8ft. 9in.,6ft. 0in.,11ft. 0in.,4ft. 5in.,"Air Conditioning, Automatic Transmission, Power Steering, Power Brakes, AM/FM Stereo, Tie Down Slats",Cargo Van,https://www.budgettruck.co/Portals/BudgetTruck/Skins/Budget-Default/images/Truck/cargo_van.jpg,1 - 2 Rooms (357 cu.ft.),,,Sold Out!,False,False
2 Seats,3213.0 per trip,9ft. 6in.,6ft. 1in.,11ft. 8in.,6ft. 3in.,"Air Conditioning, Automatic Transmission, Power Steering, Power Brakes, AM/FM Stereo, Dual Faced Mirrors, Tie Down Slats",12' Moving Truck,https://www.budgettruck.co/Portals/BudgetTruck/Skins/Budget-Default/images/Truck/12ft_moving_truck.jpg,1 - 2 Rooms (443 cu.ft.),"$3,570.00",10,,False,False
2 Seats,3974.4 per trip,11ft. 0in.,6ft. 7in.,16ft. 0in.,6ft. 3in.,"Load Ramps, Air Conditioning, Automatic Transmission, Power Steering, Power Brakes, AM/FM Stereo, Tie Down Slats, Tow Hitch",16' Moving Truck,https://www.budgettruck.co/Portals/BudgetTruck/Skins/Budget-Default/images/Truck/16ft_moving_truck.jpg,3 - 4 Rooms (658 cu.ft.),"$4,416.00",10,,True,True
3 Seats,7215.0 per trip,13ft. 0in.,8ft. 1in.,26ft. 0in.,8ft. 1in.,"Load Ramps, Air Conditioning, Automatic Transmission, Power Steering, Power Brakes, AM/FM Stereo, No Wheel Wells, Dual Faced Mirrors, Tie Down Slats, Tow Hitch",26' Moving Truck,https://www.budgettruck.co/Portals/BudgetTruck/Skins/Budget-Default/images/Truck/26ft_moving_truck.jpg,5 - 8 Rooms (1698 cu.ft.),,,,True,True
